verdict,reason,source,boardType,authorReal,bodyLen,viewCount,realTraffic30d,realComment,realLike,guestLike,report,anyComment,bannedSeo,bannedBody,bannedSlug,duplicateTitle,publishedAt,slug,title,id
PRESERVE,실회원(providerId 숫자·비ADMIN) 작성 — 무조건 보존,USER,STORY,true,38,223,37,1,0,0,0,6,,,,false,2026-08-13,점심-뭐드세요-2,점심 뭐드세요??,cmsqxrl4q000004jms0vlitfe
PRESERVE,실회원(providerId 숫자·비ADMIN) 작성 — 무조건 보존,USER,STORY,true,89,377,16,6,0,0,0,11,,,,false,2026-08-12,창원-번개-모임,창원 번개 모임,cmsqo0j69000004l7q0gymdtf
PRESERVE,실회원(providerId 숫자·비ADMIN) 작성 — 무조건 보존,USER,STORY,true,802,263,11,0,0,0,0,0,,,,false,2026-09-07,갱년기-오면서-부부관계고-성욕이고-싹-사라진-분-계신가요-저만-이런가,갱년기 오면서 부부관계고 성욕이고 싹 사라진 분 계신가요.. 저만 이런가,cmtqkpvg8000204l53yomnc4o
PRESERVE,30일 비봇 실조회 11건 — 실제 열람 경로다,SHEET,LIFE2,false,33,461,11,0,0,0,0,2,,,,false,2026-08-11,50대에-돈적으로-여유로워지고-먹고살걱정없으면-행복한가요,50대에 돈적으로 여유로워지고 먹고살걱정없으면 행복한가요?,cmso088lc000l244sabaaukz0
PRESERVE,실회원(providerId 숫자·비ADMIN) 작성 — 무조건 보존,USER,STORY,true,654,380,6,0,1,1,0,0,,,,false,2026-09-08,오늘-당근마켓-거래하러-나갔다가-깜짝-놀라-자빠질-뻔했어요,오늘 당근마켓 거래하러 나갔다가 깜짝 놀라 자빠질 뻔했어요 ㅋㅋㅋ,cmtry9nf0000004l435xq48ir
PRESERVE,실회원(providerId 숫자·비ADMIN) 작성 — 무조건 보존,USER,STORY,true,383,218,6,0,0,0,0,0,,,,false,2026-09-08,뱃살이-진짜-튜브-낀것처럼-차오르는데-저만-이러나요,뱃살이 진짜 튜브 낀것처럼 차오르는데..... 저만 이러나요? ㅜㅜㅜ,cmtrxitq5000004l691uog8cy
PRESERVE,실회원(providerId 숫자·비ADMIN) 작성 — 무조건 보존,USER,STORY,true,235,3858,6,0,0,0,0,9,,,,false,2026-05-16,친정엄마,친정엄마,cmp7on43s000004kzhkiwow2j
PRESERVE,30일 비봇 실조회 6건 — 실제 열람 경로다,SHEET,HUMOR,false,83,450,6,0,0,0,0,4,,,,false,2026-08-20,서양사람들이-신기해한다는-한국-시스템,서양사람들이 신기해한다는 한국 시스템,cmt155q1t0001iz2yxq3yg8jx
PRESERVE,실회원(providerId 숫자·비ADMIN) 작성 — 무조건 보존,USER,STORY,true,551,257,4,0,0,0,0,0,,,,false,2026-09-09,친정엄마-계실-땐-세상-다정한-척하더니-남편-이중성에-소름-돋네요,친정엄마 계실 땐 세상 다정한 척하더니.. 남편 이중성에 소름 돋네요.,cmttevfcl000404l7yg8pqmpa
PRESERVE,30일 비봇 실조회 3건 — 실제 열람 경로다,ADMIN,STORY,false,700,55,3,0,0,0,0,0,,,,false,2026-09-10,아이폰듀오-삼백만원-주고-사면-주책-남편이-늙은이-어린척한다고-막말,아이폰듀오 삼백만원 주고 사면 주책? 남편이 늙은이 어린척한다고 막말..,cmtv0gh93000104l1rv790e37
