lane,laneClass,humanTrace,guestLikeCount,guestCommentCount,botCommentCount,currentlyGoogleNoindex,recommendedAction,rationale,source,boardType,hasSlug,bodyLen,jobExpiresAt,bannedSeo,bannedBrandCopy,bannedSourceTitle,duplicateTitle,publishedAt,id
A,WITHDRAWN_REAL_MEMBER,true,1,0,0,true,PRESERVE,익명화된 과거 실회원의 글 — 콘텐츠 출처 판정에서 봇으로 취급하지 않는다,USER,STORY,true,13,,,,,false,2026-06-20,cmqm4nwuf000004ibuh1vhu56
A,SEED_BOT,false,0,0,0,false,MANUAL_REVIEW,시드봇 가상 페르소나 글이 `source=USER` 로 남아 있다 — source 표기 정정 여부는 정책 결정,USER,STORY,true,131,,,,,false,2026-03-22,cmn3617f5000dey2u1ghbq08i
A,SEED_BOT,false,0,0,0,false,MANUAL_REVIEW,시드봇 가상 페르소나 글이 `source=USER` 로 남아 있다 — source 표기 정정 여부는 정책 결정,USER,STORY,true,129,,,,,false,2026-03-20,cmn3617vp000hey2ul9lrxra9
A,SEED_BOT,false,0,0,0,false,MANUAL_REVIEW,시드봇 가상 페르소나 글이 `source=USER` 로 남아 있다 — source 표기 정정 여부는 정책 결정,USER,STORY,true,120,,,,,false,2026-03-19,cmn36183x000jey2uyk2ivccy
A,SEED_BOT,false,0,0,0,false,MANUAL_REVIEW,시드봇 가상 페르소나 글이 `source=USER` 로 남아 있다 — source 표기 정정 여부는 정책 결정,USER,STORY,true,116,,,,,false,2026-03-22,cmn3617j9000eey2ulqdkww36
A,SEED_BOT,false,0,0,0,true,MANUAL_REVIEW,시드봇 가상 페르소나 글이 `source=USER` 로 남아 있다 — source 표기 정정 여부는 정책 결정,USER,HUMOR,true,104,,,,,false,2026-03-21,cmn3618kh000ney2uabukvzf8
A,SEED_BOT,false,0,0,0,false,MANUAL_REVIEW,시드봇 가상 페르소나 글이 `source=USER` 로 남아 있다 — source 표기 정정 여부는 정책 결정,USER,WEEKLY,false,103,,,,,false,2026-03-22,cmn3618sv000pey2ug1c5q4cy
A,SEED_BOT,false,0,0,0,true,MANUAL_REVIEW,시드봇 가상 페르소나 글이 `source=USER` 로 남아 있다 — source 표기 정정 여부는 정책 결정,USER,HUMOR,true,99,,,,,false,2026-03-23,cmn361883000key2ure8fg8p1
A,SEED_BOT,false,0,0,0,false,MANUAL_REVIEW,시드봇 가상 페르소나 글이 `source=USER` 로 남아 있다 — source 표기 정정 여부는 정책 결정,USER,STORY,true,95,,,,,false,2026-03-20,cmn3617zs000iey2utnd8ma5o
A,SEED_BOT,false,0,0,0,false,MANUAL_REVIEW,시드봇 가상 페르소나 글이 `source=USER` 로 남아 있다 — source 표기 정정 여부는 정책 결정,USER,MAGAZINE,false,94,,어르신|시니어,,어르신,false,2026-03-16,cmn36199c000tey2udfrw03vo
