id,boardType,source,targetField,bannedTerms,bannedIn,currentSeoTitle,proposedSeoTitle,currentSeoDescription,proposedSeoDescription,sourceTitleUnchanged,sourceTitleHasBanned,jobOfficialTitlePreserved,factTokensLost,manualTuned,needsHumanReview,reviewReason,residualAfterRewrite
cmocutg680000ij3fwtp7qgab,JOB,BOT,seoDescription,어르신|노인,seoDescription,[인천 연수구] 요양보호사 | 우나어 일자리,(변경 없음),"시급 1만원, 어르신 곁에서 보람 있는 일 인천 연수구 요양보호사 구인 재가노인복지 요양보호사 채용 50대 요양보호사 일자리 연수구 재가요양 구직 ","시급 1만원, 돌봄 현장에서 보람 있는 일 인천 연수구 요양보호사 구인 재가복지 요양보호사 채용 50대 요양보호사 일자리 연수구 재가요양 구직 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
cmn5qnxn70000eb21cf6uyufw,JOB,BOT,seoDescription,시니어,seoDescription,[서울] 빌딩미화원 실내 미화/(.. | 우나어 일자리,(변경 없음),"월 141만원, 안정적인 근무 서울 일자리 주식회사 다올토탈서비스 시니어 채용 50대 취업 ","월 141만원, 안정적인 근무 서울 일자리 주식회사 다올토탈서비스 중장년 채용 50대 취업 ",true,,true,,false,false,,
cms8yi0dg0004j24swxdth61m,JOB,BOT,seoDescription,시니어,seoDescription,[경기 고양시] 고양시 한양파인컨트리클럽골프 | 우나어 일자리,(변경 없음),"월 215만원, 안정적인 근무 고양시 골프장 미화원 채용 락카 청소 중장년 일자리 경기 고양 골프장 시니어 구인 50대 60대 미화 파트타임 ","월 215만원, 안정적인 근무 고양시 골프장 미화원 채용 락카 청소 중장년 일자리 경기 고양 골프장 중장년 구인 50대 60대 미화 파트타임 ",true,,true,,false,false,,
cmrni9cru0004oi2cy70hyr6t,JOB,BOT,seoDescription,어르신,seoDescription,[경기 성남시] 방문요양 돌봄 도우미 | 우나어 일자리,(변경 없음),"시급 1만원, 어르신 댁 방문하는 보람 있는 일 성남시 방문요양 구인 은행동 요양보호사 채용 경기 성남 재가요양 일자리 50대 여성 요양보호사 구직 ","시급 1만원, 가정 방문 돌봄, 보람 있는 일 성남시 방문요양 구인 은행동 요양보호사 채용 경기 성남 재가요양 일자리 50대 여성 요양보호사 구직 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
cmqgm48ux0000op0i0exhpa6c,JOB,BOT,seoDescription,어르신|노인,seoDescription,[울산 남구] 재가요양보호사 | 우나어 일자리,(변경 없음),"시급 1만원, 어르신 곁에서 보람 있게 울산 남구 요양보호사 채용 신정동 재가요양보호사 구인 50대 여성 요양보호사 일자리 울산 노인복지센터 요양보호사 ","시급 1만원, 돌봄 현장에서 보람 있게 울산 남구 요양보호사 채용 신정동 재가요양보호사 구인 50대 여성 요양보호사 일자리 울산 재가복지센터 요양보호사 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(노인복지센터) 대체 — 검색 노출 영향 확인 필요,
cmquyln900000kf5nixuxeau3,JOB,BOT,seoDescription,노인,seoDescription,[경기 의정부시] 의정부동 신도3차. 3등급  | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 의정부 요양보호사 구인 경기 의정부 노인돌봄 일자리 의정부시 재가요양 취업 50대 요양보호사 의정부 ","시급 1만원, 안정적인 근무 의정부 요양보호사 구인 경기 의정부 방문돌봄 일자리 의정부시 재가요양 취업 50대 요양보호사 의정부 ",true,,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
cmrunazii0004jl1ml0bxl3xa,JOB,BOT,seoDescription,어르신,seoTitle|seoDescription|원문title,[서울 강남구] 삼성동/2등급/남자어르신/1 | 우나어 일자리,(변경 없음),"시급 1만원, 안정적인 근무 삼성동 요양보호사 구인 강남구 방문요양 일자리 남성 어르신 요양보호사 채용 50대 60대 요양보호사 오전근무 ","시급 1만원, 안정적인 근무 삼성동 요양보호사 구인 강남구 방문요양 일자리 남성 이용자 담당 요양보호사 채용 50대 60대 요양보호사 오전근무 ",true,어르신,true,,false,false,,
cmskazag60004la4sqmbyi71r,JOB,BOT,seoDescription,노인|시니어,seoTitle|seoDescription|원문title,[서울 중랑구] 노인요양 돌봄 직원 | 우나어 일자리,(변경 없음),"월 227만원, 안정적 급여의 요양 돌봄 일자리 중랑구 노인요양센터 취업 50대 요양보호사 구인 서울 중화동 시니어 일자리 60대 요양원 직원 채용 ","월 227만원, 안정적 급여의 요양 돌봄 일자리 중랑구 요양센터 취업 50대 요양보호사 구인 서울 중화동 중장년 일자리 60대 요양원 직원 채용 ",true,노인,true,,false,true,회사 고유명에 금지 표현 포함(노인) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다** / 제도·기관 공식 표기(노인요양센터) 대체 — 검색 노출 영향 확인 필요,
cmsjsn10g0004np2y057yieuj,MAGAZINE,BOT,seoTitle|seoDescription,노인,seoTitle|seoDescription|원문title,노인일자리사업 신청 자격 나이·조건·방법 완벽 정리,정부 공공일자리 사업 신청 자격 나이·조건·방법 완벽 정리,"노인일자리사업은 만 60세 이상부터 신청 가능해요. 50·60대라면 꼭 알아야 할 신청 자격, 활동 유형, 급여까지 한 번에 확인하세요.","정부 공공일자리 사업은 만 60세 이상부터 신청 가능해요. 50·60대라면 꼭 알아야 할 신청 자격, 활동 유형, 급여까지 한 번에 확인하세요.",true,노인,false,,true,true,"제도·기관 공식 표기(노인일자리사업) 대체 — 검색 노출 영향 확인 필요 / 기계 치환 결과가 어색해 **수동 교정**: 기계 치환 시 ""만 60세 이상 공공일자리 사업은 만 60세 이상부터""로 중복돼 앞을 ""정부 공공일자리 사업""으로 다듬었다",
cmq861cel0000kb28riz2us0q,JOB,BOT,seoDescription,노인|시니어|어르신,seoTitle|seoDescription|원문title,[서울 동작구] 노인돌봄 생활지원사 | 우나어 일자리,(변경 없음),"월 143만원, 어르신 곁에서 보람 있는 일 사당복지관 생활지원사 채용 노인돌봄 50대 일자리 동작구 어르신 복지 취업 시니어 생활지원사 구직 ","월 143만원, 돌봄 현장에서 보람 있는 일 사당복지관 생활지원사 채용 방문돌봄 50대 일자리 동작구 돌봄 복지 취업 중장년 생활지원사 구직 ",true,노인,true,,false,true,회사 고유명에 금지 표현 포함(어르신) — 회사명 인용인지 일반 키워드인지 확인 필요. **회사명 자체는 변경하지 않는다**,
